annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2016-2017;399853;NC;MORILLON;Lex;M;1998-08-24;FR;29490;Guipavas;France;Non boursier;En Terminale;W785612745Z;Lycée à classe postbac;Lycée La Croix Rouge;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;400056;NP;LE CAM;Pancras;M;1998-01-03;FR;29200;Brest;France;Non boursier;En Terminale;H261685701H;Lycée à classe postbac;Lycée La Croix Rouge;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;399530;56;PAGES;Walker;M;1997-09-04;FR;29470;Plougastel-Daoulas;France;Non boursier;En Terminale;Y496673003Y;Lycée à classe postbac;Lycée La Croix Rouge;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;399758;NC;GEORGES;Allen;M;1998-02-13;FR;29200;Brest;France;Non boursier;En Terminale;N965952277B;Lycée à classe postbac;Lycée La Croix Rouge;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;399632;NP;CORRE;Major;M;1998-07-17;FR;29217;Plougonvelin;France;Non boursier;En Terminale;D878630634H;Lycée à classe postbac;Lycée La Croix Rouge;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;384924;17;ROUSSELLE;Delroy;M;1998-06-10;FR;29200;Brest;France;Non boursier;En Terminale;Q363991562R;Lycée à classe postbac;Lycée Amiral Ronarc'h;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;385111;10;COLSON;Redd;M;1998-12-07;FR;29200;Brest;France;Non boursier;En Terminale;P614733747Y;Lycée à classe postbac;Lycée Amiral Ronarc'h;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;385051;NC;FEVRE;Melvin;M;1998-09-30;FR;29200;Brest;France;Non boursier;En Terminale;X985406476S;Lycée à classe postbac;Lycée Amiral Ronarc'h;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1230376;NC;BOURG;Triston;M;1997-06-27;FR;29100;Douarnenez;France;Non boursier;Scolarisé dans le supérieur en France;O715355215K;Lycée à classe postbac;Lycée Amiral Ronarc'h;Brest;29;France;1ère année d'études supérieures;BTS - BTSA;BTS - Services;;Négociation et relation client;;;Bac français obtenu;Sciences et Technologies du Management et de la Gestion;;Mercatique;Admis mention Assez Bien;07/2015   
2016-2017;222266;NC;CHENE;Ferdie;M;1998-09-07;FR;29280;Plouzané;France;Non boursier;En Terminale;L465103626I;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2016-2017;222190;NC;BOURREAU;Raymund;M;1998-11-09;FR;29810;Ploumoguer;France;Non boursier;En Terminale;U685317948M;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Pas de spécialité (S.I);Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);;
2016-2017;222079;NC;BELLIER;Bennett;M;1997-07-23;FR;29200;Brest;France;Boursier du secondaire;En Terminale;X167355588X;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Pas de spécialité (S.I);Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);;
2016-2017;222275;NC;JOYEUX;Arnie;M;1998-09-16;FR;29480;Le Relecq-Kerhuon;France;Boursier du secondaire;En Terminale;U544574344Q;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2016-2017;222081;75;PHILIBERT;Jesse;M;1997-02-18;FR;29200;Brest;France;Non boursier;En Terminale;M282674670Z;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222176;NC;PERIN;Eustache;M;1998-11-19;FR;29830;Plourin;France;Non boursier;En Terminale;Y194036937L;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;;
2016-2017;222274;32;BOREL;Marcel;M;1998-11-07;FR;29490;Guipavas;France;Non boursier;En Terminale;W766664062N;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;1089623;NC;AUGER;Cy;M;1996-06-15;FR;29600;Saint Martin des Champs;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;Y767168257S;Lycée à classe postbac;Lycée Vauban;Brest;29;France;2nd année d'études supérieures;BTS - BTSA;BTS - Production;;Moteur à combustion interne;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;Admis sans mention;07/2014   
2016-2017;222320;12;JANIN;Tony;M;1998-09-23;FR;29490;Guipavas;France;Boursier du secondaire;En Terminale;G660909682D;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222346;NC;BABIN;Garrett;M;1998-11-07;FR;29290;Milizac;France;Boursier du secondaire;En Terminale;S856196794Y;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;;
2016-2017;222121;NC;ESCOFFIER;Sylvain;M;1997-11-10;FR;29217;Le Conquet;France;Non boursier;En Terminale;R388223555K;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222116;NC;EMERY;Rodney;M;1997-08-08;FR;29200;Brest;France;Non boursier;En Terminale;K845438159C;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222194;59;FORESTIER;Everett;M;1998-03-22;FR;29880;Plouguerneau;France;Boursier du secondaire;En Terminale;R481158519X;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222235;NC;PINAULT;Rodolph;M;1998-03-29;FR;29200;Brest;France;Non boursier;En Terminale;B184226411N;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222006;NC;PECH;Waldo;M;1998-11-06;FR;29280;Plouzané;France;Non boursier;En Terminale;E321742676W;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222097;NCF;HUET;Wright;M;1997-08-16;FR;29200;Brest;France;Non boursier;En Terminale;X531541122U;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222048;NCF;LASSERRE;Radcliff;M;1997-11-03;FR;29290;Milizac;France;Boursier du secondaire;En Terminale;J131157606C;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222044;NC;FRADET;Charles;M;1996-05-25;FR;29810;Plouarzel;France;Non boursier;En Terminale;O888882382N;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;222351;NC;CONNAN;Bennett;M;1998-11-09;FR;29200;Brest;France;Boursier du secondaire;En Terminale;Y866612876H;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;323570;64;BOUVET;Nick;M;1996-07-28;FR;29820;Guilers;France;Non boursier;En Terminale;V873781877X;Lycée à classe postbac;Lycée Jules Lesven;Brest;29;France;Terminale;Terminale;STMG;;Systèmes d'information et de gestion;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Systèmes d'information et de gestion;;
2016-2017;490318;193;MAYET;Wright;M;1998-03-11;FR;56300;Saint-Thuriau;France;Non boursier;En Terminale;I539017529B;Lycée à classe postbac;Lycée Jeanne d'Arc-St Ivy;Pontivy;56;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Mathématiques;;
2016-2017;329503;NC;PERSON;Stephen;M;1999-03-04;FR;29200;Brest;France;Non boursier;En Terminale;Z313018713D;Lycée à classe postbac;Lycée Brest - Rive Droite - Javouhey;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;421050;NCF;CHEREL;Edgar;M;1998-11-09;FR;29470;Plougastel-Daoulas;France;Non boursier;En Terminale;R232535357R;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;421075;NC;BAUMANN;Onesime;M;1998-08-16;FR;29850;Gouesnou;France;Non boursier;En Terminale;S130827134L;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;420973;NC;SALMON;Rodrigue;M;1998-07-28;FR;29470;Plougastel-Daoulas;France;Non boursier;En Terminale;X300541543K;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;421030;238;PARENT;Emmerson;M;1998-10-04;FR;29200;Brest;France;Non boursier;En Terminale;X152838914E;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Portugais;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;421084;NCF;CHANUT;Felix;M;1998-03-15;FR;29490;Guipavas;France;Non boursier;En Terminale;L814235382F;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;421107;NC;LENGLET;Andrew;M;1998-03-12;FR;29200;BREST;France;Non boursier;En Terminale;Y534143379M;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;420945;NC;FOUBERT;Bennett;M;1998-09-24;FR;29480;Le Relecq-Kerhuon;France;Non boursier;En Terminale;C299838845T;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;420969;NCF;COSTES;Windsor;M;1998-11-22;FR;29480;Le Relecq-Kerhuon;France;Non boursier;En Terminale;S411145748L;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;378781;NCF;PINSON;Waylon;M;1998-07-26;FR;29200;Brest;France;Non boursier;En Terminale;G555774865O;Lycée sans classe postbac;Lycée de l'Harteloire;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;378764;NCF;MUNOZ;Gwilherm;M;1998-05-08;FR;29200;Brest;France;Non boursier;En Terminale;W588111656L;Lycée sans classe postbac;Lycée de l'Harteloire;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;378829;NC;GAUTIER;Porter;M;1998-06-27;FR;29200;Brest;France;Non boursier;En Terminale;S598696852N;Lycée sans classe postbac;Lycée de l'Harteloire;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;378820;NC;FERRE;Amyas;M;1998-11-09;FR;29200;Brest;France;Non boursier;En Terminale;E261522132T;Lycée sans classe postbac;Lycée de l'Harteloire;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;456692;7;BRIAND;Isadore;M;1998-08-12;FR;29270;Carhaix-Plouguer;France;Non boursier;En Terminale;B129462236Q;Lycée à classe postbac;Lycée Paul Sérusier;Carhaix-Plouguer;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;456624;NCF;LIMOUSIN;Digby;M;1998-10-07;FR;22110;Kergrist-Moëlou;France;Non boursier;En Terminale;X955502320A;Lycée à classe postbac;Lycée Paul Sérusier;Carhaix-Plouguer;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;456689;28;JAUBERT;Fulke;M;1997-01-18;FR;29270;Carhaix-Plouguer;France;Boursier du secondaire;En Terminale;V895411594F;Lycée à classe postbac;Lycée Paul Sérusier;Carhaix-Plouguer;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;514888;NCF;CHOPIN;Benoit;M;1998-01-22;FR;29740;Plobannalec-Lesconil;France;Non boursier;En Terminale;W798263162J;Lycée sans classe postbac;Lycée Diwan;Carhaix-Plouguer;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Breton;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;514854;NCF;MARCHE;Hughie;M;1997-02-01;FR;22540;Louargat;France;Non boursier;En Terminale;B441579841O;Lycée sans classe postbac;Lycée Diwan;Carhaix-Plouguer;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Breton;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;514892;NCF;GIMENEZ;Donnie;M;1998-10-02;FR;29460;Hanvec;France;Non boursier;En Terminale;G342052889B;Lycée sans classe postbac;Lycée Diwan;Carhaix-Plouguer;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Breton;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;725317;254;GRIFFON;Howard;M;1999-04-07;FR;29160;Crozon;France;Non boursier;En Terminale;P343131768M;Lycée à classe postbac;Lycée St Louis;Châteaulin;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;512495;NC;LE PAGE;Everitt;M;1999-01-02;FR;29150;Châteaulin;France;Non boursier;En Terminale;T653021875M;Lycée sans classe postbac;Lycée Jean Moulin;Châteaulin;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;512387;NCF;GALTIER;Annis;F;1997-06-04;FR;29190;Brasparts;France;Boursier du secondaire;En Terminale;Z386623923J;Lycée sans classe postbac;Lycée Jean Moulin;Châteaulin;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;512420;NC;BLOUIN;Raeburn;M;1998-10-23;FR;29190;Pleyben;France;Boursier du secondaire;En Terminale;A847870654M;Lycée sans classe postbac;Lycée Jean Moulin;Châteaulin;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;440359;NC;FERRON;Byron;M;1998-04-18;FR;29900;Concarneau;France;Non boursier;En Terminale;U543821947J;Lycée sans classe postbac;Lycée St Joseph;Concarneau;29;France;Terminale;Terminale;ES;;Sciences sociales et politiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Sciences sociales et politiques;;
2016-2017;440358;NC;PINOT;Al;M;1999-02-17;FR;29900;Concarneau;France;Non boursier;En Terminale;Y232643736R;Lycée sans classe postbac;Lycée St Joseph;Concarneau;29;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Mathématiques;;
2016-2017;440342;NC;MINIER;Philibert;M;1998-01-19;FR;29900;Concarneau;France;Non boursier;En Terminale;V481844645D;Lycée sans classe postbac;Lycée St Joseph;Concarneau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;440341;NC;COUTURE;Thane;M;1998-01-22;FR;29140;Rosporden;France;Non boursier;En Terminale;H184822440Q;Lycée sans classe postbac;Lycée St Joseph;Concarneau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;440305;NP;PERRAUD;Clarence;M;1997-08-22;FR;29930;Pont-Aven;France;Non boursier;En Terminale;R363864115E;Lycée sans classe postbac;Lycée St Joseph;Concarneau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;226428;212;BAUDET;Royce;M;1998-07-28;FR;29910;Trégunc;France;Non boursier;En Terminale;E735648138X;Lycée sans classe postbac;Lycée Pierre Gueguin;Concarneau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;226430;169;LEFEUVRE;Lennard;M;1998-02-07;FR;29900;Concarneau;France;Non boursier;En Terminale;C224413946M;Lycée sans classe postbac;Lycée Pierre Gueguin;Concarneau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;226419;23;BRAUD;Célestin;M;1998-08-30;FR;29900;Concarneau;France;Non boursier;En Terminale;G903778950M;Lycée sans classe postbac;Lycée Pierre Gueguin;Concarneau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;226377;NC;ALBERT;Neo;M;1997-04-09;FR;29900;Concarneau;France;Non boursier;En Terminale;B434640027G;Lycée sans classe postbac;Lycée Pierre Gueguin;Concarneau;29;France;Terminale;Terminale;P;;Electrotechnique, énergie, équipements communicants;Anglais;;Bac en préparation;Professionnelle;;Electrotechnique, énergie, équipements communicants;;
2016-2017;226444;NC;CLERC;Sherman;M;1998-12-12;FR;29900;Concarneau;France;Boursier du secondaire;En Terminale;B449042741A;Lycée sans classe postbac;Lycée Pierre Gueguin;Concarneau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;224016;NC;RUAULT;Sherlock;M;1997-03-24;FR;29100;Pouldergat;France;Boursier du secondaire;En Terminale;D478124663X;Lycée à classe postbac;Lycée Jean-Marie Le Bris;Douarnenez;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;224062;NC;VILLARD;Jérémie;M;1998-08-15;FR;29100;Kerlaz;France;Non boursier;En Terminale;S617085268T;Lycée à classe postbac;Lycée Jean-Marie Le Bris;Douarnenez;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;796390;265;SALLES;Chesley;M;1998-03-18;FR;29770;Cléden-Cap-Sizun;France;Non boursier;En Terminale;S538133824Z;Lycée sans classe postbac;Lycée Ste Elisabeth-St Blaise;Douarnenez;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;796410;NC;AUGEREAU;Collin;M;1998-07-17;FR;29100;Douarnenez;France;Boursier du secondaire;En Terminale;J071524322L;Lycée sans classe postbac;Lycée Ste Elisabeth-St Blaise;Douarnenez;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;796422;NCF;GIRARDEAU;Kelvin;M;1998-05-25;FR;29100;Douarnenez;France;Boursier du secondaire;En Terminale;Y944715026Y;Lycée sans classe postbac;Lycée Ste Elisabeth-St Blaise;Douarnenez;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;401365;NC;COLAS;Denis;M;1998-06-05;FR;29800;La Forest-Landerneau;France;Non boursier;En Terminale;O331905862K;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;401402;NC;PELISSIER;Chaz;M;1998-12-08;FR;29800;Plouédern;France;Non boursier;En Terminale;I965192312J;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;401390;58;MILLE;Jemmy;M;1998-12-28;FR;29460;Dirinon;France;Non boursier;En Terminale;F923318815Z;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;401377;199;PINSON;Matty;M;1998-07-16;FR;29800;Landerneau;France;Non boursier;En Terminale;U936712564N;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;401431;70;BARDIN;Tod;M;1998-10-25;FR;29400;Landivisiau;France;Non boursier;En Terminale;R262533038U;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;401371;42;QUESNEL;Justin;M;1998-06-07;FR;29800;Plouédern;France;Non boursier;En Terminale;Y419046455B;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
