annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2018-2019;541403;;MICHAUX;Collin;M;1999-04-28;FR;29950;Gouesnach;France;Non;En Terminale;V128955868C;Lycée à classe postbac;Lycée de Cornouaille;Quimper;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2018-2019;686972;;PEREIRA;Parris;M;2000-07-03;FR;22160;Duault;France;Non;En Terminale;G337891407J;Lycée à classe postbac;Lycée-Collège NOTRE-DAME;Guingamp;22;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Allemand;Bac en préparation;Economique et social;;Mathématiques;;
2018-2019;434145;;LARTIGUE;Ford;M;1999-09-22;FR;14190;Saint-Sylvain;France;Non;En Terminale;T508965136U;Lycée à classe postbac;Lycée Institut Lemonnier;Caen;14;France;Terminale;Terminale;S;Sciences de l'ingénieur;Pas de spécialité (S.I);Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);;
2018-2019;291851;;COUDERC;Romain;M;2000-08-30;FR;14310;Parfouru-sur-Odon;France;Non;En Terminale;D577684936Y;Lycée à classe postbac;Lycée Malherbe;Caen;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;209791;;GODARD;Vernon;M;2000-07-22;FR;29890;Plounéour-Trez;France;Non;En Terminale;U175100152U;Lycée sans classe postbac;Lycée St Francois - Notre Dame;Lesneven;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;234581;;FERRE;Ernest;M;2000-11-03;FR;50120;Cherbourg-en-Cotentin;France;Non;En Terminale;K865934624C;Lycée à classe postbac;Lycée Jean-Francois Millet;Octeville;50;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;459672;;RANNOU;Dick;M;2001-07-01;FR;56250;Monterblanc;France;Non;En Terminale;C424815812H;Lycée à classe postbac;Lycée Charles De Gaulle;Vannes;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;796334;;GUINARD;Mack;M;2000-02-18;FR;97615;Dzaoudzi;France;Oui;En Terminale;H546240772V;Lycée à classe postbac;Lycée de Petite Terre;Pamandzi;976;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;571051;;COURT;Paise;M;2000-06-28;UE;22440;Ploufragan;France;Non;En Terminale;N424485075C;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;1197200;;KERN;Tobin;M;1999-10-03;FR;22110;Glomel;France;Non;Non scolarisé;D587236523N;Lycée à classe postbac;Lycée Aristide Briand;Saint-Nazaire;44;France;1ère année d'études supérieures;CPGE;;;;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Architecture et construction;Admis mention Bien;07/2017   
2018-2019;557199;;DANIEL;Reid;M;2000-06-15;FR;3700;Brugheas;France;Non;En Terminale;F072849855Q;Lycée à classe postbac;Lycée Général et Technologique Albert Londres;Cusset;3;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2018-2019;280008;;GODET;Harvie;M;2000-10-09;FR;56800;Ploërmel;France;Non;En Terminale;F780733581Z;Lycée à classe postbac;Lycée La Mennais;Ploërmel;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;519906;;FLAMENT;Woody;M;2000-07-10;FR;35410;Domloup;France;Non;En Terminale;H774786752K;Lycée à classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;747035;;BONNEAU;Alain;M;2001-05-12;FR;35300;Fougères;France;Non;En Terminale;F485616203Q;Lycée à classe postbac;Lycée Jean Baptiste Le Taillandier;Fougères;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;1058109;;BERNE;Hewie;M;1999-07-20;FR;22100;Trélivan;France;Non;Scolarisé en MC, FCIL, MGI, DAEU, MANN hors contrat,bac international;E701326886I;Université;Facultés libres de l'ouest UCO - Angers;Angers;49;France;Année préparatoire aux études supérieures;Classe de remise à niveau (Scientifique, pour enter en BTS, ...);;;;;;Bac français obtenu;Economique et social;;Mathématiques;Admis sans mention;07/2017   
2018-2019;659037;;HUET;Ike;M;2000-03-16;FR;22000;Saint-Brieuc;France;Non;En Terminale;S119476441X;Lycée à classe postbac;Lycée Chaptal;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Pas de spécialité (S.I);Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);;
2018-2019;871745;;CONNAN;Philippe;M;2000-03-02;FR;17220;Salles-sur-Mer;France;Non;En Terminale;J381375892L;Lycée à classe postbac;Lycée Leonce Vieljeux;La Rochelle;17;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;278017;;NIEL;Constantin;M;2000-11-15;FR;56270;Ploemeur;France;Non;En Terminale;P873641680Y;Lycée à classe postbac;Lycée Jean-Baptiste Colbert;Lorient;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2018-2019;519737;;BOURCIER;Upton;M;2000-03-02;FR;35235;Thorigné-Fouillard;France;Non;En Terminale;J687341937E;Lycée à classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;174857;;BONY;Dean;M;2000-10-08;FR;72400;La Chapelle-du-Bois;France;Non;En Terminale;H227247837R;Lycée à classe postbac;Lycée Robert GARNIER;La Ferté-Bernard;72;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;135717;;RIEU;Blythe;M;1999-07-23;FR;44700;Orvault;France;Non;En Terminale;B344459281U;Lycée à classe postbac;Lycée Nicolas Appert;Orvault;44;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;861429;;CHAIGNEAU;Humphrey;M;2000-03-10;FR;35380;Plélan-le-Grand;France;Oui;En Terminale;H568961674F;Lycée sans classe postbac;Lycée La Providence;Montauban-de-Bretagne;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;377650;;VAUTRIN;Divina;F;2000-12-08;FR;56400;Brech;France;Non;En Terminale;B658109261N;Lycée sans classe postbac;Lycée Ste Anne-St Louis;Sainte-Anne-d'Auray;56;France;Terminale;Terminale;STMG;;Gestion et Finance;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Gestion et Finance;;
2018-2019;462985;;CASTAING;Keegan;M;2000-09-06;FR;29000;Quimper;France;Non;En Terminale;E152218306T;Lycée à classe postbac;Lycée Auguste Brizeux;Quimper;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;382491;;CHAUVEL;Wayne;M;2000-01-07;FR;35580;Goven;France;Non;En Terminale;B314760472F;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;203161;;DEVOS;Dwayne;M;2000-11-04;FR;35850;Irodouër;France;Non;En Terminale;G867392135X;Lycée sans classe postbac;Lycée Rene Cassin;Montfort-sur-Meu;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;412623;;CROSNIER;Kory;M;2000-12-22;FR;29410;Guiclan;France;Non;En Terminale;G774704899R;Lycée à classe postbac;Lycée du Leon;Landivisiau;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;1097460;;MADEC;Gall;M;1999-06-28;FR;35370;Mondevert;France;Non;Non scolarisé;M383056158U;;;;;;;;;;;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;Admis mention Assez Bien;07/2017   
