prenom;moyenne;code_postal;niveau_etude;mention_bac
Deangelo;8.39;29720;1ère année d'études supérieures;AB
Zachary;4.75;22200;Terminale;AB
Dustin;12.97;35160;Terminale;AB
Phillip;13.76;35133;Terminale;B
Deemer;10.63;22600;Terminale;P
Elric;18.30;29233;1ère année d'études supérieures;TB
Quin;6.80;35400;Terminale;P
Diodore;6.25;29200;Terminale;P
Maverick;8.39;22550;Terminale;B
Rainier;9.86;41000;Terminale;B
Lally;9.89;22170;Terminale;B
Al;14.32;56240;1ère année d'études supérieures;P
Annie;10.27;35170;1ère année d'études supérieures;TB
Mason;10.46;29200;Terminale;P
Donnie;9.12;56870;Terminale;AB
Sylvain;10.91;29500;Terminale;B
Fabrice;13.46;29800;Terminale;AB
Perry;12.00;35000;1ère année d'études supérieures;AB
Gene;14.57;29250;Terminale;AB
Leyton;5.59;22930;Terminale;P
Kipling;8.59;22470;2nd année d'études supérieures;P
Hewie;10.04;56120;Terminale;B
Felicity;11.84;85170;Terminale;AB
Maurine;8.34;22000;Terminale;B
Kolby;12.86;14340;Terminale;P
Landon;11.43;29233;Terminale;B
Kristia;9.96;29520;Terminale;P
Everard;9.57;22300;Terminale;AB
Trent;9.64;22300;;
Everett;14.98;22940;Terminale;B
Armel;11.63;22590;Terminale;AB
Gervase;9.38;56400;1ère année d'études supérieures;P
Piers;11.16;22400;Terminale;AB
Shaw;15.11;35890;Terminale;AB
Wiley;9.46;35740;Terminale;AB
Constant;13.11;22150;Terminale;P
Alban;13.43;22300;1ère année d'études supérieures;AB
Jeffrey;16.07;29830;Terminale;AB
Edison;11.96;35000;Terminale;P
Jacob;9.13;35870;Terminale;AB
Amédée;8.25;29800;Terminale;B
Nathan;12.79;22700;Terminale;B
Guiscard;16.79;35170;Terminale;AB
Kimball;13.42;50600;Terminale;AB
Zach;12.45;29800;Terminale;AB
Deon;11.82;29800;Terminale;B
Lovel;14.23;35450;Terminale;AB
Randolf;14.67;35230;Terminale;P
Shelley;13.29;29840;Terminale;TB
Lucienne;11.11;56140;Terminale;B
Wilbur;13.29;35800;Terminale;AB
Johnie;10.66;22440;Terminale;B
Van;8.55;29490;Terminale;P
Tel;9.50;22950;Terminale;AB
Jeff;12.88;22400;Terminale;AB
Gratien;11.68;49000;Terminale;P
Dawson;17.25;35131;1ère année d'études supérieures;TB
Floyd;11.21;29590;1ère année d'études supérieures;P
Dayton;13.95;29200;Terminale;B
Xavier;12.18;29170;Terminale;P
Lorn;11.41;22100;Terminale;B
Ike;7.73;35720;Terminale;B
Vincent;8.27;35200;Terminale;B
Pete;12.87;22300;1ère année d'études supérieures;AB
Kole;11.89;29190;Terminale;B
Joël;12.67;22730;Année préparatoire aux études supérieures;AB
Layton;14.93;35350;Terminale;B
Michel;11.57;29850;Terminale;P
Jérémie;19.23;22300;Terminale;TB
Bennett;15.64;22120;Terminale;B
Beauregard;9.56;49300;1ère année d'études supérieures;P
Félix;10.61;29000;Terminale;AB
Marin;16.19;56240;Terminale;P
Major;12.82;56190;Terminale;AB
Telesphore;6.33;6650 ;Terminale;B
Lori;19.00;29650;2nd année d'études supérieures;B
Gore;15.41;22700;1ère année d'études supérieures;AB
Elea;14.20;22220;Terminale;TB
Linton;7.90;35500;Terminale;B
York;11.29;56250;Terminale;P
Upton;15.14;29750;Terminale;AB
Félicie;8.02;35750;Terminale;P
Nicodème;11.39;22750;Terminale;AB
Michel;15.45;22300;Terminale;B
Deangelo;13.75;29720;1ère année d'études supérieures;AB
Zachary;13.43;22200;Terminale;AB
Montgomery;11.35;22820;Terminale;B
Justin;15.06;22120;Terminale;AB
Joscelin;7.93;29250;Terminale;P
Booker;13.50;56300;Terminale;P
Vinnie;7.79;35730;Terminale;AB
Quin;12.20;35400;Terminale;P
Brice;6.79;72300;1ère année d'études supérieures;P
Lanford;11.41;56440;1ère année d'études supérieures;B
Marion;8.13;35131;Terminale;AB
Odell;15.47;29170;Terminale;TB
Lorn;16.00;29000;Terminale;AB
Louie;10.98;35170;1ère année d'études supérieures;AB
